t1, t2
1646907374059428, 1646907374059516, 88
1646907374059516, 1646907374059592, 76
1646907374059592, 1646907374059683, 91
1646907374059683, 1646907374059747, 64
1646907374059747, 1646907374059798, 51
1646907374059798, 1646907374059846, 48
1646907374059846, 1646907374059893, 47
1646907374059893, 1646907374059945, 52
1646907374059945, 1646907374060000, 55
1646907374060000, 1646907374060045, 45
1646907374060045, 1646907374060089, 44
1646907374060089, 1646907374060133, 44
1646907374060134, 1646907374060178, 44
1646907374060178, 1646907374060223, 45
1646907374060223, 1646907374060267, 44
1646907374060267, 1646907374060312, 45
1646907374060312, 1646907374060356, 44
1646907374060356, 1646907374060401, 45
1646907374060401, 1646907374060445, 44
1646907374060445, 1646907374060489, 44
1646907374060489, 1646907374060533, 44
1646907374060533, 1646907374060577, 44
1646907374060577, 1646907374060621, 44
1646907374060621, 1646907374060666, 45
1646907374060666, 1646907374060710, 44
1646907374060710, 1646907374060754, 44
1646907374060754, 1646907374060798, 44
1646907374060798, 1646907374060842, 44
1646907374060842, 1646907374060902, 60
1646907374060902, 1646907374060952, 50
1646907374060952, 1646907374060999, 47
1646907374060999, 1646907374061047, 48
1646907374061047, 1646907374061094, 47
1646907374061094, 1646907374061144, 50
1646907374061144, 1646907374061191, 47
1646907374061191, 1646907374061242, 51
1646907374061242, 1646907374061294, 52
1646907374061294, 1646907374061341, 47
1646907374061341, 1646907374061390, 49
1646907374061390, 1646907374061435, 45
1646907374061435, 1646907374061487, 52
1646907374061487, 1646907374061534, 47
1646907374061534, 1646907374061581, 47
1646907374061581, 1646907374061627, 46
1646907374061627, 1646907374061671, 44
1646907374061671, 1646907374061715, 44
1646907374061715, 1646907374061759, 44
1646907374061759, 1646907374061803, 44
1646907374061804, 1646907374061848, 44
1646907374061848, 1646907374061895, 47
1646907374061895, 1646907374061944, 49
1646907374061944, 1646907374061994, 50
1646907374061994, 1646907374062043, 49
1646907374062044, 1646907374062093, 49
1646907374062093, 1646907374062138, 45
1646907374062138, 1646907374062183, 45
1646907374062183, 1646907374062227, 44
1646907374062227, 1646907374062272, 45
1646907374062272, 1646907374062315, 43
1646907374062316, 1646907374062360, 44
1646907374062360, 1646907374062404, 44
1646907374062404, 1646907374062448, 44
1646907374062448, 1646907374062492, 44
1646907374062492, 1646907374062536, 44
1646907374062536, 1646907374062580, 44
1646907374062580, 1646907374062627, 47
1646907374062627, 1646907374062677, 50
1646907374062677, 1646907374062742, 65
1646907374062742, 1646907374062792, 50
1646907374062792, 1646907374062839, 47
1646907374062839, 1646907374062883, 44
1646907374062883, 1646907374062927, 44
1646907374062927, 1646907374062971, 44
1646907374062971, 1646907374063015, 44
1646907374063015, 1646907374063058, 43
1646907374063058, 1646907374063103, 45
1646907374063103, 1646907374063147, 44
1646907374063147, 1646907374063191, 44
1646907374063191, 1646907374063235, 44
1646907374063235, 1646907374063278, 43
1646907374063278, 1646907374063322, 44
1646907374063322, 1646907374063366, 44
1646907374063366, 1646907374063412, 46
1646907374063412, 1646907374063462, 50
1646907374063462, 1646907374063511, 49
1646907374063511, 1646907374063560, 49
1646907374063560, 1646907374063606, 46
1646907374063606, 1646907374063654, 48
1646907374063655, 1646907374063703, 48
1646907374063703, 1646907374063750, 47
1646907374063751, 1646907374063797, 46
1646907374063797, 1646907374063841, 44
1646907374063841, 1646907374063885, 44
1646907374063885, 1646907374063929, 44
1646907374063929, 1646907374063972, 43
1646907374063973, 1646907374064016, 43
1646907374064016, 1646907374064060, 44
1646907374064060, 1646907374064104, 44
1646907374064104, 1646907374064148, 44
1646907374064148, 1646907374064192, 44
1646907374064192, 1646907374064236, 44
1646907374064236, 1646907374064283, 47
1646907374064283, 1646907374064333, 50
1646907374064333, 1646907374064383, 50
1646907374064383, 1646907374064433, 50
1646907374064433, 1646907374064482, 49
1646907374064482, 1646907374064530, 48
1646907374064531, 1646907374064575, 44
1646907374064575, 1646907374064619, 44
1646907374064619, 1646907374064663, 44
1646907374064663, 1646907374064706, 43
1646907374064706, 1646907374064751, 45
1646907374064751, 1646907374064794, 43
1646907374064794, 1646907374064838, 44
1646907374064838, 1646907374064882, 44
1646907374064882, 1646907374064926, 44
1646907374064926, 1646907374064970, 44
1646907374064970, 1646907374065014, 44
1646907374065014, 1646907374065057, 43
1646907374065057, 1646907374065100, 43
1646907374065100, 1646907374065144, 44
1646907374065144, 1646907374065187, 43
1646907374065187, 1646907374065231, 44
1646907374065231, 1646907374065274, 43
1646907374065274, 1646907374065318, 44
1646907374065318, 1646907374065362, 44
1646907374065362, 1646907374065404, 42
1646907374065405, 1646907374065448, 43
1646907374065448, 1646907374065492, 44
1646907374065493, 1646907374065536, 43
1646907374065536, 1646907374065595, 59
1646907374065595, 1646907374065659, 64
1646907374065659, 1646907374065723, 64
1646907374065723, 1646907374065780, 57
1646907374065780, 1646907374065830, 50
1646907374065830, 1646907374065882, 52
1646907374065882, 1646907374065931, 49
1646907374065931, 1646907374065979, 48
1646907374065979, 1646907374066027, 48
1646907374066027, 1646907374066076, 49
1646907374066076, 1646907374066124, 48
1646907374066124, 1646907374066174, 50
1646907374066174, 1646907374066221, 47
1646907374066221, 1646907374066271, 50
1646907374066271, 1646907374066319, 48
1646907374066319, 1646907374066369, 50
1646907374066369, 1646907374066417, 48
1646907374066417, 1646907374066468, 51
1646907374066468, 1646907374066564, 96
1646907374066564, 1646907374066620, 56
1646907374066620, 1646907374066675, 55
1646907374066675, 1646907374066764, 89
1646907374066764, 1646907374067002, 238
1646907374067002, 1646907374067094, 92
1646907374067094, 1646907374067157, 63
1646907374067158, 1646907374068302, 1144
1646907374068302, 1646907374068432, 130
1646907374068432, 1646907374068483, 51
1646907374068483, 1646907374068531, 48
1646907374068532, 1646907374068579, 47
1646907374068579, 1646907374068628, 49
1646907374068629, 1646907374068675, 46
1646907374068676, 1646907374068724, 48
1646907374068724, 1646907374068771, 47
1646907374068771, 1646907374068818, 47
1646907374068819, 1646907374068865, 46
1646907374068865, 1646907374068912, 47
1646907374068912, 1646907374068958, 46
1646907374068958, 1646907374069005, 47
1646907374069005, 1646907374069052, 47
1646907374069052, 1646907374069107, 55
1646907374069107, 1646907374069153, 46
1646907374069153, 1646907374069197, 44
1646907374069197, 1646907374069241, 44
1646907374069241, 1646907374069285, 44
1646907374069285, 1646907374069329, 44
1646907374069329, 1646907374069373, 44
1646907374069373, 1646907374069417, 44
1646907374069417, 1646907374069461, 44
1646907374069461, 1646907374069504, 43
1646907374069504, 1646907374069562, 58
1646907374069562, 1646907374069613, 51
1646907374069613, 1646907374069659, 46
1646907374069659, 1646907374069707, 48
1646907374069707, 1646907374069753, 46
1646907374069753, 1646907374069797, 44
1646907374069797, 1646907374069838, 41
1646907374069838, 1646907374069878, 40
1646907374069878, 1646907374069917, 39
1646907374069917, 1646907374069957, 40
1646907374069957, 1646907374069997, 40
1646907374069997, 1646907374070037, 40
1646907374070037, 1646907374070086, 49
1646907374070086, 1646907374070127, 41
1646907374070127, 1646907374070166, 39
1646907374070166, 1646907374070204, 38
1646907374070204, 1646907374070242, 38
1646907374070242, 1646907374070279, 37
1646907374070279, 1646907374070315, 36
1646907374070315, 1646907374070352, 37
1646907374070352, 1646907374070390, 38
1646907374070390, 1646907374070428, 38
1646907374070428, 1646907374070464, 36
1646907374070464, 1646907374070501, 37
1646907374070501, 1646907374070538, 37
1646907374070538, 1646907374070576, 38
1646907374070576, 1646907374070613, 37
1646907374070613, 1646907374070650, 37
1646907374070650, 1646907374070687, 37
1646907374070687, 1646907374070755, 68
1646907374070755, 1646907374070824, 69
1646907374070824, 1646907374070916, 92
1646907374070916, 1646907374070972, 56
1646907374070973, 1646907374071018, 45
1646907374071018, 1646907374071063, 45
1646907374071063, 1646907374071107, 44
1646907374071107, 1646907374071151, 44
1646907374071151, 1646907374071196, 45
1646907374071196, 1646907374071240, 44
1646907374071240, 1646907374071284, 44
1646907374071284, 1646907374071327, 43
1646907374071327, 1646907374071371, 44
1646907374071371, 1646907374071414, 43
1646907374071414, 1646907374071458, 44
1646907374071458, 1646907374071502, 44
1646907374071502, 1646907374071546, 44
1646907374071546, 1646907374071590, 44
1646907374071590, 1646907374071634, 44
1646907374071634, 1646907374071678, 44
1646907374071678, 1646907374071722, 44
1646907374071722, 1646907374071767, 45
1646907374071767, 1646907374071810, 43
1646907374071811, 1646907374071854, 43
1646907374071854, 1646907374071898, 44
1646907374071898, 1646907374071942, 44
1646907374071942, 1646907374071986, 44
1646907374071986, 1646907374072030, 44
1646907374072030, 1646907374072074, 44
1646907374072074, 1646907374072118, 44
1646907374072118, 1646907374072161, 43
1646907374072162, 1646907374072205, 43
1646907374072205, 1646907374072249, 44
1646907374072249, 1646907374072292, 43
1646907374072292, 1646907374072336, 44
1646907374072336, 1646907374072380, 44
1646907374072380, 1646907374072424, 44
1646907374072424, 1646907374072467, 43
1646907374072468, 1646907374072511, 43
1646907374072511, 1646907374072555, 44
1646907374072555, 1646907374072599, 44
1646907374072599, 1646907374072643, 44
1646907374072643, 1646907374072687, 44
1646907374072687, 1646907374072731, 44
1646907374072731, 1646907374072775, 44
1646907374072776, 1646907374072820, 44
1646907374072820, 1646907374072865, 45
1646907374072865, 1646907374072909, 44
1646907374072909, 1646907374072953, 44
1646907374072953, 1646907374072997, 44
1646907374072997, 1646907374073040, 43
1646907374073040, 1646907374073084, 44
1646907374073084, 1646907374073128, 44
1646907374073128, 1646907374073172, 44
1646907374073172, 1646907374073216, 44
1646907374073216, 1646907374073260, 44
1646907374073260, 1646907374073305, 45
1646907374073306, 1646907374073352, 46
